particle_id,x,y,z
1,99.978027,66.047691,29.797878
2,14.293598,72.769157,99.078339
3,91.712364,42.917274,24.965830

1,99.976006,66.050606,29.792217
2,14.286767,72.771942,99.089172
3,91.721214,42.911575,24.960657

1,99.974037,66.053558,29.786537
2,14.279868,72.774742,99.100067
3,91.730080,42.905823,24.955444

1,99.972122,66.056557,29.780836
2,14.272901,72.777557,99.111023
3,91.738960,42.900013,24.950191

1,99.970261,66.059593,29.775116
2,14.265864,72.780388,99.122040
3,91.747864,42.894150,24.944899

1,99.968445,66.062668,29.769375
2,14.258759,72.783234,99.133110
3,91.756783,42.888229,24.939566

1,99.966682,66.065781,29.763613
2,14.251586,72.786095,99.144241
3,91.765717,42.882256,24.934193

1,99.964973,66.068939,29.757832
2,14.244345,72.788971,99.155434
3,91.774666,42.876225,24.928780

1,99.963310,66.072136,29.752029
2,14.237035,72.791862,99.166687
3,91.783638,42.870140,24.923326

1,99.961700,66.075371,29.746208
2,14.229656,72.794769,99.178001
3,91.792625,42.863998,24.917835

1,99.960144,66.078651,29.740366
2,14.222209,72.797691,99.189377
3,91.801628,42.857800,24.912304

1,99.958641,66.081970,29.734503
2,14.214693,72.800629,99.200813
3,91.810646,42.851547,24.906733

1,99.957184,66.085327,29.728621
2,14.207109,72.803581,99.212311
3,91.819687,42.845238,24.901121

1,99.955780,66.088722,29.722717
2,14.199457,72.806549,99.223869
3,91.828743,42.838875,24.895470

1,99.954430,66.092163,29.716793
2,14.191736,72.809532,99.235481
3,91.837814,42.832455,24.889778

1,99.953125,66.095642,29.710850
2,14.183947,72.812531,99.247154
3,91.846909,42.825981,24.884047

1,99.951874,66.099159,29.704885
2,14.176089,72.815544,99.258888
3,91.856018,42.819450,24.878275

1,99.950676,66.102715,29.698900
2,14.168163,72.818573,99.270683
3,91.865143,42.812862,24.872463

1,99.949524,66.106316,29.692896
2,14.160169,72.821617,99.282539
3,91.874283,42.806221,24.866611

1,99.948425,66.109955,29.686871
2,14.152105,72.824677,99.294456
3,91.883446,42.799522,24.860720

1,99.947380,66.113632,29.680826
2,14.143974,72.827751,99.306435
3,91.892624,42.792770,24.854788

1,99.946388,66.117355,29.674761
2,14.135775,72.830841,99.318474
3,91.901817,42.785961,24.848816

1,99.945442,66.121117,29.668674
2,14.127506,72.833946,99.330574
3,91.911034,42.779095,24.842804

1,99.944550,66.124916,29.662569
2,14.119169,72.837067,99.342735
3,91.920265,42.772175,24.836752

1,99.943710,66.128754,29.656443
2,14.110765,72.840202,99.354950
3,91.929512,42.765198,24.830662

1,99.942917,66.132637,29.650295
2,14.102291,72.843353,99.367226
3,91.938774,42.758167,24.824532
